#{"t_start": 1770201107.09923, "env_id": "None"}
r,l,t
-17.722444,1,3.082137
-41.491283,1,3.082137
-38.702495,1,3.082137
-37.318184,1,3.092553
-46.525323,1,3.094657
-59.334465,1,3.096621
-18.133461,1,3.097609
-38.654557,1,3.098563
-39.149962,1,3.098563
-46.876251,1,3.098563
-41.333275,1,3.098563
-26.813016,1,3.104878
-31.468578,1,3.105877
-49.218427,1,3.106876
-30.791022,1,3.108892
-42.77227,1,3.109875
-48.374666,1,3.111197
-24.940168,1,3.112345
-8.502429,1,3.114339
-53.451651,1,3.115345
-6.228398,1,3.116341
-38.147603,1,3.11834
-40.66431,1,3.11834
-59.071419,1,3.11834
-9.644696,1,3.11834
-42.370667,1,3.11834
-44.098185,1,3.11834
-47.298274,1,3.11834
-48.582733,1,3.11834
-45.418272,1,3.129452
-49.612782,1,3.131524
-48.53876,1,3.134746
-54.814474,1,3.136745
-41.169612,1,3.138573
-54.300121,1,3.141231
-17.476361,1,3.141231
-14.909775,1,3.148002
-24.81055,1,3.148002
-42.101744,1,3.148002
-24.992315,1,3.148002
-43.247947,1,3.148002
-33.967183,1,3.148002
-30.480861,1,3.148002
-44.030225,1,3.158432
-42.050489,1,3.16045
-32.005357,1,3.162462
-49.837535,1,3.162462
-57.59381,1,3.16447
-17.968191,1,3.166479
-38.644078,1,3.168487
-50.599936,1,3.168487
-34.277683,1,3.170497
-58.338635,1,3.172508
-8.033207,1,3.172508
-35.655297,1,3.174516
-42.043674,1,3.176524
-50.177596,1,3.176524
-19.557067,1,3.178532
-42.585336,1,3.178532
-6.628605,1,3.178532
100.0,1,3.178532
-42.955773,1,3.178532
-38.620344,1,3.178532
-25.313575,1,3.178532
-45.186795,1,3.188923
-22.838338,1,3.188923
-35.799004,1,3.188923
-21.822016,1,3.188923
-59.045017,1,3.188923
-10.090506,1,3.188923
-8.967298,1,3.198986
-56.154862,1,3.200943
-25.695823,1,3.203292
-25.233282,1,3.204303
-10.149768,1,3.205293
-39.908412,1,3.205293
-33.104715,1,3.205293
-26.474693,1,3.205293
-19.489488,1,3.205293
-36.440131,1,3.205293
-14.14343,1,3.205293
-26.304969,1,3.215358
-38.07342,1,3.215358
-26.432386,1,3.215358
-63.735851,1,3.215358
-14.813117,1,3.222936
-37.68455,1,3.225925
-45.312834,1,3.228924
-56.467462,1,3.231282
-56.326686,1,3.233411
-39.603863,1,3.23606
-14.543411,1,3.239296
-17.79977,1,3.241303
-31.669243,1,3.243897
-42.004803,1,3.244889
-53.503641,1,3.245888
-32.057826,1,3.247888
-37.912822,1,3.248887
-63.896363,1,3.249796
-39.018916,1,3.249796
-48.816258,1,3.249796
-24.585774,1,3.249796
-42.084713,1,3.249796
-11.838185,1,3.249796
-54.734326,1,3.259336
-29.113681,1,3.260473
-30.597219,1,3.260473
-24.993847,1,3.262486
-31.2509,1,3.262486
-43.051059,1,3.262486
-31.721663,1,3.262486
-41.849113,1,3.262486
-58.860982,1,3.269643
-48.597274,1,3.269643
-54.132171,1,3.269643
-40.824795,1,3.269643
-46.963802,1,3.269643
-25.155482,1,3.269643
-44.779187,1,3.269643
-19.038037,1,3.280781
-65.226641,1,3.280781
-30.26433,1,3.282792
-12.952836,1,3.284801
-9.052523,1,3.284801
-16.640108,1,3.286809
-51.000445,1,3.28882
-47.192065,1,3.290573
-45.66737,1,3.290573
-43.265157,1,3.290573
-71.840148,1,3.290573
100.0,1,3.290573
-20.128532,1,3.290573
-39.256922,1,3.300916
-29.187394,1,3.303421
-44.642786,1,3.304724
-37.707481,1,3.306734
-39.916083,1,3.306734
-41.078504,1,3.306734
-38.15615,1,3.306734
-32.299906,1,3.312172
-48.478812,1,3.313236
-54.373324,1,3.314231
-56.233763,1,3.31523
-51.082658,1,3.319178
-42.125162,1,3.321504
-24.349125,1,3.322507
-55.873625,1,3.324507
-52.656307,1,3.325507
-26.429877,1,3.326437
-48.885093,1,3.326437
-61.922585,1,3.326437
-51.189898,1,3.326437
-10.494883,1,3.326437
-30.856587,1,3.326437
-42.83738,1,3.326437
-44.726548,1,3.326437
-26.885772,1,3.337423
-52.156165,1,3.33944
-44.242876,1,3.341455
-7.711098,1,3.343471
-51.274668,1,3.343471
-51.436845,1,3.345484
-8.032143,1,3.346995
-17.31882,1,3.35102
-9.62125,1,3.35102
-70.193184,1,3.35102
-35.294939,1,3.35102
-48.748912,1,3.357434
-6.617617,1,3.357434
-40.94774,1,3.357434
-31.600988,1,3.357434
-48.295744,1,3.357434
-10.279774,1,3.357434
-55.768337,1,3.357434
-37.989058,1,3.367879
-38.457407,1,3.368548
-41.639438,1,3.368548
-12.705983,1,3.368548
-5.733881,1,3.368548
-51.368216,1,3.368548
-25.393734,1,3.368548
-63.793623,1,3.368548
-46.050639,1,3.378424
-41.774438,1,3.378424
-45.176155,1,3.378424
-6.611605,1,3.378424
-27.146517,1,3.378424
-36.218443,1,3.378424
-40.5338,1,3.378424
-30.308969,1,3.388799
-42.219581,1,3.388799
-23.73995,1,3.388799
-13.375055,1,3.388799
-26.257822,1,3.394728
-44.088407,1,3.394728
-24.458112,1,3.399019
-36.422268,1,3.401037
-48.246358,1,3.403049
-43.497647,1,3.405058
-38.25926,1,3.405058
-38.94619,1,3.407067
-18.253401,1,3.409075
-65.89766,1,3.411892
-44.234551,1,3.413024
-11.885219,1,3.415028
-47.862569,1,3.416334
-27.853216,1,3.417166
-9.293835,1,3.417166
-21.154943,1,3.417166
-38.926187,1,3.417166
-58.91784,1,3.423672
-40.428663,1,3.426765
-28.06449,1,3.429762
-42.339721,1,3.432527
-26.09027,1,3.434526
-16.045368,1,3.437525
-26.017407,1,3.437525
-8.447289,1,3.437525
-58.155217,1,3.437525
-56.650805,1,3.44799
-24.206448,1,3.44799
-41.827356,1,3.44799
-31.133367,1,3.44799
-37.115715,1,3.458523
-63.094954,1,3.458523
-24.586317,1,3.461137
-10.066199,1,3.461137
-50.430001,1,3.468661
-15.104152,1,3.468661
-12.230912,1,3.468661
-33.359037,1,3.468661
-37.076421,1,3.468661
-43.629111,1,3.468661
-12.318887,1,3.468661
-41.464035,1,3.478979
-15.618349,1,3.478979
-14.734553,1,3.480993
-58.86223,1,3.480993
-36.572748,1,3.480993
-49.874323,1,3.480993
-13.164192,1,3.480993
-46.99628,1,3.480993
-48.450995,1,3.489119
-22.122173,1,3.489119
-30.091217,1,3.489119
-49.025695,1,3.489119
-22.275893,1,3.489119
-23.237336,1,3.489119
-10.737654,1,3.489119
-18.75023,1,3.499328
-5.967573,1,3.500151
-27.247139,1,3.500151
-52.01612,1,3.500151
-60.230259,1,3.500151
-9.949348,1,3.500151
-44.557408,1,3.500151
-44.239569,1,3.500151
-35.215816,1,3.509762
-13.668551,1,3.509762
-49.898226,1,3.509762
-23.740802,1,3.509762
-12.202685,1,3.509762
-7.887221,1,3.509762
-7.878433,1,3.521679
-13.514005,1,3.523064
-44.211046,1,3.524305
-30.010106,1,3.525296
-51.653348,1,3.526298
-6.927699,1,3.528719
-31.843261,1,3.529705
-44.734232,1,3.530973
-44.993181,1,3.530973
-38.798982,1,3.534464
-36.516307,1,3.535599
-71.145371,1,3.537599
-15.24635,1,3.538598
-39.1493,1,3.539599
-43.896432,1,3.541519
-37.488931,1,3.543028
-16.209612,1,3.544069
-24.664616,1,3.545074
-47.108569,1,3.547068
-43.319665,1,3.548064
-30.627451,1,3.549072
-47.434234,1,3.549072
-36.5213,1,3.549072
-27.017931,1,3.549072
-23.253093,1,3.549072
-36.306629,1,3.549072
-35.717885,1,3.549072
-25.742336,1,3.559366
-10.974553,1,3.560571
-29.976634,1,3.562583
-34.457915,1,3.562583
-17.155128,1,3.562583
-45.858687,1,3.562583
-30.103057,1,3.569684
-17.687808,1,3.569684
-42.595243,1,3.569684
-48.157069,1,3.57422
-38.906072,1,3.574886
-64.195039,1,3.576904
-37.669942,1,3.578251
-53.653383,1,3.578251
-31.975287,1,3.580015
-48.976119,1,3.580015
-55.592762,1,3.580015
-11.714565,1,3.580015
-5.95549,1,3.580015
-42.88178,1,3.580015
-5.853146,1,3.580015
-8.380871,1,3.590201
-38.364766,1,3.590201
-49.077626,1,3.590201
-39.394495,1,3.590201
-26.402357,1,3.590201
-54.433351,1,3.590201
-36.015718,1,3.590201
-50.253303,1,3.590201
-31.346269,1,3.600682
-47.852956,1,3.600682
-51.554275,1,3.600682
-60.143185,1,3.600682
-8.644327,1,3.600682
-73.556826,1,3.600682
-10.429648,1,3.600682
-41.404066,1,3.600682
-22.836407,1,3.611167
-58.835902,1,3.611167
-38.343976,1,3.611167
-32.194884,1,3.611167
-48.513817,1,3.611167
-62.642637,1,3.611167
-34.360183,1,3.622177
-20.569279,1,3.624004
-11.017796,1,3.625734
-49.293606,1,3.626178
-10.754538,1,3.62731
-9.056664,1,3.62731
-49.509579,1,3.62731
-38.511727,1,3.632668
-29.360409,1,3.633667
-15.909882,1,3.634669
-48.811758,1,3.636666
-50.421868,1,3.637667
-51.243727,1,3.638573
-20.359382,1,3.64079
-63.430355,1,3.64179
-19.882117,1,3.64279
-45.569453,1,3.644798
-42.664397,1,3.645789
-57.766472,1,3.645789
-44.572686,1,3.645789
-36.775055,1,3.645789
-64.488445,1,3.645789
-39.750658,1,3.645789
-7.584445,1,3.645789
-47.300411,1,3.645789
-55.858635,1,3.655921
-45.965381,1,3.655921
-30.688239,1,3.658849
-25.279778,1,3.658849
100.0,1,3.658849
-23.012947,1,3.658849
-30.838433,1,3.658849
-64.513363,1,3.666051
-55.3488,1,3.666051
-48.847588,1,3.666051
